FirstName,LastName,Age,City,Salary,Status,BankBalance,BankName,StockSymbol,StockPrice,StockPriceOneYearAgo,StockVolume,StockPriceYearAgo,StockPriceSixMonthsAgo,StockPriceThreeMonthsAgo,StockPriceOneMonthAgo
Angela,Martin,47,Ortizview,72426,Married,2705620.93,Robinson-Buck Bank,rfi,344.4,754.65,34146,153.32,645.72,214.22,670.28
Richard,Martinez,46,Cameronstad,30177,Divorced,4458041.74,Mitchell-Roach Bank,clE,56.59,744.55,1659,187.55,853.06,287.54,291.3
Edward,Heath,56,Robinsontown,117471,Married,7727891.22,"Johnson, Lee and Bush Bank",wrC,214.94,790.28,33535,657.65,31.86,93.55,896.55
Joseph,Lopez,35,West Paul,33220,Divorced,2444266.16,Sharp-Williams Bank,ydz,687.84,997.74,26781,177.79,901.92,775.08,586.63
Stephen,Garcia,41,Lake Thomaschester,32428,Divorced,8264779.01,Duke PLC Bank,Sqn,698.8,728.96,46587,978.99,379.79,38.92,717.29
Kent,King,39,Leefurt,68908,Divorced,6803634.6,Reed Group Bank,skz,872.02,651.24,57295,129.5,918.98,824.4,314.2
Tiffany,Crawford,64,Greenstad,110693,Married,3949862.18,Dennis-Miller Bank,GnP,453.61,759.79,35326,862.72,305.95,108.68,239.73
Jennifer,Miller,69,Christopherside,41323,Married,7800418.66,Martinez-Zhang Bank,fFJ,31.51,945.03,78710,366.34,951.83,515.67,370.06
Shelly,Brown,33,East Stephenborough,90266,Married,3002278.12,Griffith-Werner Bank,NEP,554.65,773.64,39365,783.67,77.29,123.87,562.91
Matthew,Harrison,51,Port Maurice,84530,Divorced,314849.57,Kaiser Group Bank,IJs,682.32,147.56,84213,571.55,244.96,243.27,672.86
Claudia,Sims,48,Webstertown,113490,Single,4816927.31,"Jones, Kelley and Nelson Bank",NVt,683.07,781.8,43716,950.68,243.73,645.1,126.77
Jeremiah,Carr,64,West Jeremiahhaven,54746,Married,9585377.09,Mitchell LLC Bank,hSo,887.61,915.28,89681,537.64,962.67,72.87,835.36
Sharon,Mcknight,23,North Vanessashire,76059,Married,3450756.22,Mercado PLC Bank,bcw,267.83,543.34,1064,572.94,583.68,610.1,80.15
Gilbert,Rodriguez,52,Reyesberg,86010,Married,5398857.28,Fisher LLC Bank,OAG,334.48,28.23,87597,618.84,151.25,691.8,653.57
Kimberly,Torres,61,Richardton,103587,Single,2263194.44,"Thompson, Baldwin and Wright Bank",RlP,111.28,861.59,95063,751.38,299.93,880.0,28.97
Brenda,Henderson,53,West Haleybury,59034,Married,8675960.95,Romero-Cox Bank,gXx,428.91,686.08,31553,180.69,144.73,382.69,750.87
Michael,Farley,64,East Coltonmouth,36125,Married,7931585.0,Edwards-Marshall Bank,Bwh,793.2,213.71,53238,337.89,456.55,204.65,504.37
Danielle,Hoffman,46,North Erica,64102,Single,9693436.65,Gilmore-Adkins Bank,Evr,94.79,283.61,19166,221.63,622.86,604.11,707.27
Hannah,Smith,22,Rachelmouth,98807,Married,1174358.34,Vaughn-Humphrey Bank,cPc,447.12,582.72,30308,782.57,779.2,207.34,664.65
Brian,Trujillo,66,Donnashire,111420,Married,8179170.76,Murphy and Sons Bank,BHJ,555.04,430.72,51532,761.74,707.09,138.18,627.76
Anne,Martinez,35,Bradytown,34514,Married,1887453.6,"Nichols, Munoz and Gonzalez Bank",WlR,461.94,530.13,3478,907.63,291.73,363.22,521.44
James,Fisher,20,South Johnview,34999,Married,6492286.25,Harrison Ltd Bank,zaG,344.24,29.08,57145,352.28,22.12,817.27,431.87
Joseph,Rios,51,North Vincentstad,46227,Single,6682062.8,Morales-Murray Bank,CKt,438.25,773.04,41416,53.9,44.86,452.9,546.56
Marie,Browning,44,Port Kathleenside,46732,Divorced,4853609.82,"King, Kelly and Smith Bank",bQT,672.16,635.07,39349,197.21,103.7,241.56,512.04
Victoria,Flores,33,West Williamshire,46071,Married,1510900.44,"Miller, Horn and Mckay Bank",WUU,608.75,452.33,41000,444.73,464.11,532.09,911.23
William,Reynolds,59,Port Jose,50851,Single,5655662.25,Kelly PLC Bank,IiR,619.62,889.68,79028,783.86,994.66,40.52,605.37
Ronald,Carter,44,Lake Lorettafort,95776,Married,4749322.11,Ballard Inc Bank,zhF,302.24,392.71,26001,228.32,897.95,696.97,77.15
Kevin,Aguilar,42,Lopezside,115949,Single,2072730.34,Atkins-Rocha Bank,yFj,858.42,514.63,92406,413.86,346.21,863.24,906.2
Jeff,Rowland,42,Dillonview,71232,Single,9836047.46,"Harris, Robbins and Smith Bank",rRh,424.23,996.58,16961,270.79,183.99,323.04,213.45
Curtis,Parker,27,East Davidburgh,73835,Single,5545203.37,Patterson-Dillon Bank,mgv,326.92,947.6,50357,882.31,872.88,39.44,448.5
Omar,Morrison,35,Marcohaven,42192,Married,6375683.18,Bautista-Fields Bank,ZMQ,712.16,781.88,38417,708.05,643.92,783.28,888.67
Karen,Erickson,19,Youngport,68513,Married,50685.19,Jones-Andrews Bank,EIA,154.54,698.19,57670,725.86,16.8,240.03,526.17
Amanda,Luna,63,New Ryan,48808,Divorced,7708602.87,"Sawyer, Young and Stanley Bank",nbP,866.85,638.63,79155,487.32,886.79,629.02,914.1
Christine,Becker,27,South Paulaborough,58179,Divorced,3990832.42,"Alexander, Hale and Rodriguez Bank",Cjz,18.89,504.95,53387,509.69,96.07,40.72,568.99
Stephen,Mcintosh,66,East Jeffreyberg,68469,Divorced,9268250.82,Clark LLC Bank,mco,736.35,300.71,14954,464.79,890.37,308.01,254.83
Thomas,Taylor,49,West Brandistad,76256,Divorced,4778126.27,Benjamin Inc Bank,zxv,484.06,630.28,87988,234.34,115.46,278.31,99.66
John,Taylor,32,New Paula,39662,Single,8585271.77,Simon Inc Bank,VqK,478.81,615.81,4887,469.57,166.21,748.04,906.04
Kelly,Hill,61,East Matthew,100355,Single,6516917.4,Johnson Ltd Bank,WfT,684.52,509.9,3238,744.9,787.68,769.04,334.91
Jason,Brown,47,Bakerborough,65738,Single,3417697.94,"Ferguson, Krueger and Davis Bank",SNO,857.36,208.43,44051,148.02,839.91,77.48,757.82
Thomas,Harvey,52,South Jessicaview,49422,Single,5241444.48,"Roy, Mcmillan and Baker Bank",LNl,939.8,783.85,61840,293.59,169.22,904.37,363.48
Lisa,Williams,60,New Timothyview,90464,Divorced,49056.41,Hernandez Ltd Bank,WUi,429.98,548.24,35027,777.97,125.79,890.8,679.84
Jennifer,Nguyen,37,Lake Christineside,59279,Divorced,9570318.23,Ford and Sons Bank,Twp,526.08,968.91,48716,416.58,104.13,914.48,971.4
Amy,Floyd,33,North Robert,88399,Single,3927792.73,"Mullins, Chavez and Humphrey Bank",IWE,235.14,21.63,93020,273.99,218.37,507.16,292.1
John,Myers,34,Morsefurt,42512,Single,2612613.84,"Patel, Bell and Cooper Bank",kSY,328.67,477.55,98627,14.26,359.76,195.64,925.14
Jacqueline,Bennett,19,Grahamshire,49178,Married,5660447.81,Davis-Miller Bank,CcM,655.6,303.16,49229,365.29,260.35,914.39,344.22
Eugene,Solis,50,Sydneyside,91405,Divorced,778752.45,Watson-Taylor Bank,Vej,22.71,851.97,6148,230.6,257.76,915.11,367.87
Nicole,Hill,59,Wernerchester,76815,Divorced,6575692.12,Turner-Wallace Bank,TvR,810.75,248.08,3679,578.69,198.44,871.04,708.42
Phyllis,Simon,46,North Laurenton,86706,Divorced,1593826.73,Martin PLC Bank,xHS,636.08,24.22,22948,871.45,250.09,450.55,631.87
Stephen,Marshall,19,Wongmouth,43672,Divorced,7144579.23,Adams-Mendez Bank,vbr,962.2,507.1,20688,857.2,278.4,44.26,418.22
Charles,Smith,41,Carlymouth,62872,Single,8329078.87,Burton Inc Bank,JsY,616.22,966.01,2153,135.5,176.91,888.84,435.77
Reginald,Gilbert,44,Jamesmouth,59139,Married,2715673.41,Quinn and Sons Bank,epe,302.7,384.23,35721,120.0,176.63,230.69,519.81
Mariah,Morgan,44,South William,51037,Divorced,850205.69,Fox and Sons Bank,let,631.0,936.86,13100,399.76,436.36,861.81,896.02
Kent,Spencer,65,East Lindaland,90164,Married,5867802.18,"Ferguson, Cooper and Fowler Bank",tFT,273.27,124.21,73634,461.38,505.77,226.52,483.95
James,Sparks,52,South Susanport,46004,Married,3791306.4,"Smith, Lamb and Dorsey Bank",dbR,838.14,394.11,2046,143.83,361.3,817.88,598.53
Victoria,Schaefer,51,Port Natalietown,107925,Married,5694527.5,Jimenez Ltd Bank,NsP,468.52,418.13,4312,803.69,556.99,561.67,39.9
Christian,Yoder,40,New Derrick,89205,Divorced,408107.92,Downs-Rivera Bank,aEx,609.67,357.22,19595,882.77,599.53,283.59,414.98
Kayla,Davis,56,Lake Stephenberg,45631,Divorced,6343225.81,Anderson-Wright Bank,rBD,184.34,395.49,10591,221.53,822.82,547.56,50.84
Michael,Dudley,23,Angelastad,50855,Single,7646446.43,"Carter, Hoffman and Lambert Bank",VBP,224.82,501.76,40064,700.76,183.63,486.87,437.17
Megan,Sanders,19,New Caroline,105092,Married,6545819.21,Rios-Briggs Bank,pnN,132.95,691.97,64150,729.56,797.97,101.18,542.51
Kenneth,Bright,46,North Dalemouth,31995,Married,9299889.86,Johnson-Guerrero Bank,MUv,461.94,976.26,61849,747.67,539.69,83.68,749.47
Joseph,Herrera,43,East Phillipstad,101789,Single,8926269.39,Williams-Holland Bank,MSd,550.06,823.75,56734,673.2,538.53,477.55,358.03
Shawn,Brown,55,Port Donaldfurt,66039,Divorced,3326992.09,"Hanson, Hodge and Salazar Bank",mze,22.16,213.53,56667,228.63,287.49,928.44,294.58
Dwayne,Wilson,42,North Michelle,86180,Single,5591556.71,Walker-Allen Bank,Mgi,729.05,192.27,45819,323.88,806.53,549.99,443.48
Pamela,Moore,29,Brandystad,117919,Married,7826569.33,Kim-Clark Bank,GZH,846.91,415.06,91793,199.62,402.48,86.47,447.94
Paige,Hayden,42,West Jessestad,63150,Married,4203778.9,Rodriguez LLC Bank,hJk,210.05,918.85,70882,664.62,953.66,732.02,410.31
Glenda,Smith,44,Nancyport,35584,Married,5766263.52,Potts Inc Bank,ibX,31.14,654.56,60195,879.36,838.72,298.11,18.93
Chad,Wade,26,South Maria,79783,Divorced,6754599.07,Brock-Perez Bank,CJl,584.55,203.62,221,548.23,136.5,520.21,948.9
Renee,Le,31,South Michelleton,60791,Divorced,8303807.46,Ramirez-Gonzalez Bank,gaf,124.85,490.42,75521,540.12,372.13,66.96,952.7
Nicholas,Lewis,49,Trevortown,80987,Single,4835582.99,Sanders-Boone Bank,OQo,905.81,514.45,31440,431.56,327.43,139.25,639.3
Samantha,Walls,35,Simmonsport,36617,Single,7885755.33,"Matthews, Hall and Nelson Bank",MMB,198.47,334.48,49220,714.65,879.24,540.06,481.82
Kevin,Thomas,57,East Briana,98491,Single,3222322.37,Elliott-Ortega Bank,Cur,472.13,402.35,27294,884.35,678.96,955.64,724.13
Brandon,Leonard,25,Loriburgh,107223,Married,3337005.38,Raymond PLC Bank,kmF,62.47,32.36,59424,474.7,829.99,961.07,884.67
David,Smith,25,Davidborough,92516,Married,7079903.67,Jones-Blake Bank,tHY,433.23,619.63,59116,888.29,769.63,994.93,362.7
William,Ramirez,33,Stevenfurt,37102,Divorced,4380808.95,Phillips Ltd Bank,NTC,105.53,342.64,57574,819.35,960.3,615.38,710.19
Madison,Preston,33,Yatesview,91593,Single,2510970.41,Massey-Pitts Bank,KAS,569.24,331.34,307,924.87,978.85,31.09,645.77
Mariah,Combs,20,New Morgan,100771,Single,5097306.94,"Washington, Thornton and Johnson Bank",bVN,60.3,687.72,64214,342.21,136.77,445.3,468.46
Michael,Hardy,68,Kristenberg,103513,Married,1731055.64,Swanson Ltd Bank,mco,391.54,163.98,78407,36.4,807.69,50.22,394.9
Christopher,Mclean,58,Brittanyshire,88570,Divorced,7170408.88,"Smith, Pearson and Gordon Bank",zVR,43.32,378.57,22643,612.17,380.09,946.17,341.45
Heather,Miller,20,North Gabriela,81003,Divorced,7140279.13,Simpson-Jones Bank,lCV,286.94,897.23,73236,475.3,899.02,961.78,844.72
Tammy,Adams,45,Harrisville,77274,Divorced,8409203.9,Johnson Ltd Bank,wtz,327.45,951.52,48356,255.57,55.0,18.74,839.4
Thomas,Hammond,65,Johnsonview,79884,Divorced,3115467.9,"Johnson, Dougherty and Delacruz Bank",AkL,916.46,655.66,76118,878.56,178.21,713.69,725.2
Theresa,Mathews,19,Colleenbury,67265,Single,4200908.78,"Haynes, Kelly and Wong Bank",nAW,844.98,239.21,60796,520.63,455.34,792.46,819.83
Lauren,Coleman,33,Lopezstad,47340,Married,9844436.48,Oneal-Hart Bank,sXv,838.85,783.17,30605,473.38,354.02,283.98,552.55
Hannah,Rodriguez,28,Josephbury,88788,Married,5404720.38,"Cannon, Warren and Buckley Bank",gIp,159.71,559.38,95162,677.91,51.27,343.4,215.26
Noah,Watson,57,West Juliefort,75076,Single,7526758.01,"Barrera, Mcdonald and Carter Bank",Gmb,499.64,861.56,42533,460.43,257.41,947.29,853.94
Lisa,Dawson,43,East Claytonburgh,72204,Divorced,9262909.43,Garcia-Anderson Bank,kfv,385.85,174.47,89609,401.29,184.3,806.38,916.36
Shane,Williams,46,Kevinport,93665,Single,4108334.48,Nelson-Middleton Bank,OEy,177.22,740.41,53483,641.26,614.94,685.82,848.56
Donna,Chang,46,West Jessicaside,61652,Single,7156113.22,King Group Bank,MDy,256.76,293.03,20041,602.41,209.69,225.51,945.44
Gregory,Barber,54,Johnsonberg,43453,Married,1713717.7,"Kerr, Bullock and Blackburn Bank",RBf,562.55,218.54,38439,344.34,360.05,296.41,680.82
Marcus,Rice,64,New Leslie,90688,Divorced,9103993.19,Cline Inc Bank,USB,42.84,253.59,68014,461.97,443.64,38.16,352.23
Theresa,Thomas,33,Robertburgh,33747,Divorced,446198.13,"Lee, Morgan and Lyons Bank",UqL,198.97,695.25,11994,468.83,103.4,991.01,371.14
Patricia,Pierce,39,Lake David,84924,Single,1557196.57,Townsend Inc Bank,eRU,899.26,493.26,93505,309.11,394.64,653.82,329.43
John,Phillips,69,Adamsmouth,64494,Single,4651740.74,"Porter, White and Vaughn Bank",eMt,631.6,36.14,45525,180.62,485.08,976.03,255.17
Brandon,Garza,45,North Jacqueline,90602,Divorced,4789647.3,"Middleton, Villarreal and Mcbride Bank",IlU,320.57,458.66,50151,134.73,346.11,976.46,692.28
Joyce,Cooper,65,West Vanessaborough,42884,Divorced,2880487.78,Smith-Hernandez Bank,ZBq,360.28,393.86,60174,602.59,288.47,777.76,121.85
Sydney,Jensen,23,South Christinafort,108311,Married,1492205.26,Lewis Ltd Bank,Pna,101.02,669.62,74831,605.94,620.32,332.66,533.1
Jennifer,Lewis,53,Morenoshire,94975,Divorced,3016060.34,Gutierrez Group Bank,cIp,290.41,322.01,64545,970.88,113.63,410.63,980.94
Mark,Hobbs,46,Kristineshire,55171,Divorced,8781515.43,"Murray, Schmidt and Barrett Bank",ffJ,144.97,137.57,82995,643.95,462.27,372.22,744.84
Thomas,Hopkins,68,West Ricardomouth,63027,Divorced,6367647.68,Castro-Morris Bank,uGq,95.99,774.73,11869,522.16,234.44,565.04,343.37
William,Smith,49,North Jilltown,82815,Divorced,8516134.79,Smith-Rodriguez Bank,nJi,230.14,860.58,66613,875.64,235.53,515.31,370.53
Amy,Miller,50,New Hannah,74862,Single,1285741.05,Martinez-Fox Bank,xWc,918.3,654.06,21260,933.27,343.47,749.78,564.83
Gary,Davis,45,Rodriguezmouth,101291,Single,9857288.04,Sullivan PLC Bank,Nhc,414.04,176.33,68937,609.26,564.7,650.29,48.59
Darrell,Barker,48,New Christopher,50151,Single,8919776.29,Fields-Fowler Bank,nFU,283.23,10.15,60849,900.97,649.15,841.0,934.38
Rebecca,White,64,Zacharyside,62721,Married,6444325.47,"Miller, Watkins and Fowler Bank",YIF,559.05,323.99,85062,844.52,125.11,780.47,659.65
Samuel,Alvarez,41,Arnoldchester,63900,Divorced,4587396.24,Thompson-Burch Bank,spq,598.21,211.78,50620,450.62,793.65,83.43,678.22
Hannah,Davila,53,Lake Lawrencetown,69532,Divorced,2692113.72,"Rogers, Sexton and Chen Bank",xxq,64.94,302.06,12356,568.57,197.35,269.48,250.87
Lisa,Allen,47,East Adrianborough,46576,Divorced,6373333.63,Scott Inc Bank,ZFd,410.94,180.11,98584,77.7,102.26,771.43,246.48
Shane,Collins,25,Hesschester,113180,Single,9570899.59,Ramirez-Griffin Bank,LLe,519.49,484.5,91687,844.01,844.29,251.36,492.26
Marcus,Harris,53,Meganfort,58574,Single,9629604.25,Davis-Jacobson Bank,rmU,473.32,136.3,26424,180.07,900.58,799.09,391.5
Bryan,Watson,28,Lake Amyshire,66586,Married,3204383.5,Gentry PLC Bank,eim,154.98,627.47,45803,137.25,240.82,477.39,578.09
Robert,Mathis,63,Port Robertmouth,75011,Divorced,1125650.76,Erickson and Sons Bank,qoa,641.67,990.17,25736,123.28,29.07,433.38,65.97
Amy,Roberson,23,North Briantown,73377,Single,3048362.39,"Armstrong, Cox and Randall Bank",wIA,931.09,428.42,57725,921.76,294.56,646.49,931.74
Tanner,Green,30,North Jasmine,111501,Married,1675481.36,"Martin, Santiago and Armstrong Bank",SwH,853.66,273.74,24978,334.83,913.24,821.19,147.63
Aaron,Bailey,64,South Branditown,72865,Divorced,1088727.44,Gross Inc Bank,iwD,90.7,722.17,89752,221.11,381.0,225.82,954.69
Michelle,Bailey,18,Jonesfort,110594,Single,1723651.73,Brown-Day Bank,lpn,991.07,996.7,52881,458.44,976.89,260.44,388.03
Reginald,Barrett,65,Kaitlyntown,34689,Married,6283769.09,Chambers LLC Bank,vWQ,943.57,900.82,58960,14.81,167.51,358.26,748.54
Alexandria,Williams,28,Pittmantown,80892,Single,1470847.47,"Delacruz, Richardson and Dunn Bank",BSh,107.7,156.96,45077,56.86,280.69,806.19,897.68
Holly,Anderson,67,Chandlerburgh,34233,Divorced,1963277.19,"Singleton, Peters and Martinez Bank",GxG,632.4,54.92,81989,133.87,719.53,482.71,71.12
April,Dixon,58,Charlesland,40758,Divorced,7605129.59,Boyd-Spears Bank,bdV,478.61,235.33,63668,826.13,925.52,443.06,297.03
Earl,Gonzalez,41,South Leahside,74560,Divorced,8438623.9,"Quinn, Shah and Salazar Bank",KLY,90.15,906.95,1151,558.59,616.2,169.85,259.33
Francisco,Ryan,66,Toniport,95002,Divorced,3341667.29,"Johnson, Morris and Green Bank",GNe,119.12,335.01,42934,538.52,759.72,241.78,797.98
Anna,Vasquez,31,New David,50927,Divorced,8492196.01,"Howard, Sanchez and Mack Bank",FdI,592.25,824.86,62336,361.65,416.94,599.44,23.31
Tyler,Elliott,56,East Jacobhaven,77668,Married,1489488.1,"Guerra, Griffith and Davis Bank",Nkj,986.87,641.32,46256,192.8,355.43,398.25,514.58
Victoria,Gross,24,West Crystal,87378,Married,4772966.51,Soto Group Bank,ksW,620.69,132.58,95474,663.12,760.72,528.32,937.1
Nicole,Strickland,19,Carmenborough,72983,Divorced,8483231.05,Hart-Jones Bank,lJv,624.85,280.3,17897,891.42,267.29,999.07,56.16
Crystal,Vazquez,44,Davidburgh,94348,Married,4410554.07,Garcia-Miller Bank,eLp,438.88,761.07,28695,374.23,838.64,170.88,143.35
